仓位ID,交易对,方向,数量,开仓价格,开仓时间,平仓价格,平仓时间,状态,PnL,交易次数,原始开仓时间戳,原始平仓时间戳
SOL/USDT:USDT_1734456670605,SOL/USDT:USDT,空头,8,225.19,2024-12-18 1:31,227.14,2024-12-18 1:54,已平仓,-15.6,4,1734456670605,1734458069201
SOL/USDT:USDT_1734459904881,SOL/USDT:USDT,空头,13,226.89,2024-12-18 2:25,228.49,2024-12-18 2:36,已平仓,-20.8,3,1734459904881,1734460607020
SOL/USDT:USDT_1734492594818,SOL/USDT:USDT,多头,18,218.34000000000003,2024-12-18 11:29,216.86,2024-12-18 12:01,已平仓,-26.64,3,1734492594818,1734494472018
SOL/USDT:USDT_1734495418133,SOL/USDT:USDT,多头,13,217.42000000000002,2024-12-18 12:16,216.22,2024-12-18 12:24,已平仓,-15.6,3,1734495418133,1734495862113
SOL/USDT:USDT_1734495927624,SOL/USDT:USDT,空头,13,216.41,2024-12-18 12:25,214.28,2024-12-18 14:41,已平仓,27.68999999999994,2,1734495927624,1734504116923
SOL/USDT:USDT_1734508894446,SOL/USDT:USDT,空头,13,215.65,2024-12-18 16:01,216.93,2024-12-18 17:07,已平仓,-16.64,2,1734508894446,1734512844021
SOL/USDT:USDT_1734513340012,SOL/USDT:USDT,多头,10,216.82999999999998,2024-12-18 17:15,215.37,2024-12-18 21:04,已平仓,-14.6,8,1734513340012,1734527045689
SOL/USDT:USDT_1734527590254,SOL/USDT:USDT,多头,13,216.95,2024-12-18 21:13,215.23,2024-12-18 22:31,已平仓,-22.36,2,1734527590254,1734532319043
SOL/USDT:USDT_1734532612149,SOL/USDT:USDT,多头,11,215.58,2024-12-18 22:36,216.54,2024-12-18 23:15,已平仓,10.559999999999775,3,1734532612149,1734534903506
SOL/USDT:USDT_1734535359228,SOL/USDT:USDT,多头,17,218.1235294117647,2024-12-18 23:22,214.53,2024-12-19 1:24,已平仓,-61.09,3,1734535359228,1734542656504
SOL/USDT:USDT_1734844184821,SOL/USDT:USDT,空头,16,178.3,2024-12-22 13:09,179.09,2024-12-22 13:16,已平仓,-12.64,3,1734844184821,1734844560088
SOL/USDT:USDT_1734844569587,SOL/USDT:USDT,多头,16,179.16,2024-12-22 13:16,180.25,2024-12-22 13:35,已平仓,17.440000000000055,4,1734844569587,1734845734286
SOL/USDT:USDT_1734849913425,SOL/USDT:USDT,空头,21,183.3,2024-12-22 14:45,185.03,2024-12-22 16:04,已平仓,-36.33,2,1734849913425,1734854648292
SOL/USDT:USDT_1734854665081,SOL/USDT:USDT,多头,14,185.18,2024-12-22 16:04,185.81,2024-12-22 18:56,已平仓,8.819999999999936,5,1734854665081,1734864985693
SOL/USDT:USDT_1734866874612,SOL/USDT:USDT,多头,21,186.13333333333335,2024-12-22 19:27,185.19,2024-12-22 21:08,已平仓,-19.81,5,1734866874612,1734872898345
SOL/USDT:USDT_1734872917183,SOL/USDT:USDT,空头,6,185.13,2024-12-22 21:08,186.01,2024-12-22 21:22,已平仓,-5.28,3,1734872917183,1734873776219
SOL/USDT:USDT_1734875208067,SOL/USDT:USDT,空头,6,185.67,2024-12-22 21:46,183.5,2024-12-22 22:08,已平仓,13.019999999999925,3,1734875208067,1734876528021
SOL/USDT:USDT_1734876956725,SOL/USDT:USDT,空头,10,183.27,2024-12-22 22:15,181.75,2024-12-22 22:29,已平仓,15.200000000000102,6,1734876956725,1734877758277
SOL/USDT:USDT_1734878410354,SOL/USDT:USDT,空头,21,180.70761904761903,2024-12-22 22:40,179.14,2024-12-22 22:56,已平仓,32.91999999999999,4,1734878410354,1734879392686
SOL/USDT:USDT_1734885028866,SOL/USDT:USDT,多头,16,182.46,2024-12-23 0:30,182.36,2024-12-23 1:42,已平仓,-1.6,4,1734885028866,1734889378180
